CollectDate,Year,Month,LabSampleNum,Locator,Depth,Parameter,Value,Units,Qualifier,MDL,RDL,Text,Value_orig,det_Flag
2019-09-11T15:57:00Z,2019,9,L72885-6,VA65A,NA,"pH, Field",7.72,pH,,NA,NA,,7.72,FALSE
2016-12-14T16:10:00Z,2016,12,L66686-2,VA41A,NA,Temperature,4.8,deg C,,NA,NA,,4.8,FALSE
2010-05-04T15:06:00Z,2010,5,L50749-3,VA42A,NA,Total Phosphorus,0.0411,mg/L,,0.005,0.01,,0.0411,FALSE
2021-07-14T15:49:00Z,2021,7,L77289-1,VA12A,NA,"Dissolved Oxygen, Field",10.6,mg/L,,0.5,1,,10.6,FALSE
2012-06-05T14:32:00Z,2012,6,L55756-2,VA41A,NA,Silica,24.4,mg/L,,0.5,1,,24.4,FALSE
2021-06-16T14:55:00Z,2021,6,L77077-7,VA42A,NA,"Conductivity, Field",151,umhos/cm,,0.5,10,,151,FALSE
2020-07-15T14:56:00Z,2020,7,L74995-7,VA42A,NA,Total Alkalinity,64.1,mg CaCO3/L,,1,5,,64.1,FALSE
2008-11-04T16:49:00Z,2008,11,L46861-5,VA65A,NA,Temperature,8.56,deg C,,NA,NA,,8.56,FALSE
2011-10-04T16:02:00Z,2011,10,L54196-1,VA12A,NA,Silica,31.3,mg/L,,0.5,1,,31.3,FALSE
2016-09-14T15:04:00Z,2016,9,L66017-4,VA45A,NA,"Dissolved Oxygen, Field",2.9,mg/L,,0.5,1,"Very low flow, sampled from pool",2.9,FALSE
2011-02-08T15:30:00Z,2011,2,L52543-2,VA41A,NA,Orthophosphate Phosphorus,0.028,mg/L,,0.002,0.005,,0.028,FALSE
2009-02-03T16:45:00Z,2009,2,L47319-2,VA41A,NA,Ammonia Nitrogen,0.0123,mg/L,,0.005,0.01,,0.0123,FALSE
2015-08-12T17:00:00Z,2015,8,L63411-1,VA12A,NA,Total Suspended Solids,1.7,mg/L,,0.5,1,,1.7,FALSE
