"","Month","Year_mon","variable","value","Wtr_Year"
"356","May",May 2007,"0311",220,2007
"357","June",Jun 2007,"0311",289,2007
"358","July",Jul 2007,"0311",322,2007
"359","August",Aug 2007,"0311",369,2007
"360","September",Sep 2007,"0311",247,2007
"361","October",Oct 2007,"0311",299,2008
"362","November",Nov 2007,"0311",344,2008
"363","December",Dec 2007,"0311",561,2008
"364","January",Jan 2008,"0311",670,2008
"365","February",Feb 2008,"0311",746,2008
"366","March",Mar 2008,"0311",386,2008
"367","April",Apr 2008,"0311",429,2008
"368","May",May 2008,"0311",171,2008
"369","June",Jun 2008,"0311",145,2008
"370","July",Jul 2008,"0311",89.8,2008
"371","August",Aug 2008,"0311",299,2008
"372","September",Sep 2008,"0311",312,2008
"373","October",Oct 2008,"0311",213,2009
"374","November",Nov 2008,"0311",409,2009
"375","December",Dec 2008,"0311",395,2009
"376","January",Jan 2009,"0311",NA,2009
"377","February",Feb 2009,"0311",NA,2009
"378","March",Mar 2009,"0311",NA,2009
"379","April",Apr 2009,"0311",NA,2009
"380","May",May 2009,"0311",NA,2009
"381","June",Jun 2009,"0311",NA,2009
"382","July",Jul 2009,"0311",NA,2009
"383","August",Aug 2009,"0311",NA,2009
"384","September",Sep 2009,"0311",NA,2009
"385","October",Oct 2009,"0311",NA,2010
"386","November",Nov 2009,"0311",NA,2010
"387","December",Dec 2009,"0311",NA,2010
"388","January",Jan 2010,"0311",NA,2010
"389","February",Feb 2010,"0311",NA,2010
"390","March",Mar 2010,"0311",NA,2010
"391","April",Apr 2010,"0311",NA,2010
"392","May",May 2010,"0311",NA,2010
"393","June",Jun 2010,"0311",NA,2010
"394","July",Jul 2010,"0311",NA,2010
"395","August",Aug 2010,"0311",NA,2010
"396","September",Sep 2010,"0311",NA,2010
"397","October",Oct 2010,"0311",NA,2011
"398","November",Nov 2010,"0311",NA,2011
"399","December",Dec 2010,"0311",NA,2011
"400","January",Jan 2011,"0311",NA,2011
"401","February",Feb 2011,"0311",NA,2011
"402","March",Mar 2011,"0311",NA,2011
"403","April",Apr 2011,"0311",NA,2011
"404","May",May 2011,"0311",NA,2011
"405","June",Jun 2011,"0311",NA,2011
"406","July",Jul 2011,"0311",NA,2011
"407","August",Aug 2011,"0311",NA,2011
"408","September",Sep 2011,"0311",NA,2011
"409","October",Oct 2011,"0311",NA,2012
"410","November",Nov 2011,"0311",NA,2012
"411","December",Dec 2011,"0311",NA,2012
"412","January",Jan 2012,"0311",NA,2012
"413","February",Feb 2012,"0311",NA,2012
"414","March",Mar 2012,"0311",NA,2012
"415","April",Apr 2012,"0311",NA,2012
"416","May",May 2012,"0311",NA,2012
"417","June",Jun 2012,"0311",NA,2012
"418","July",Jul 2012,"0311",NA,2012
"419","August",Aug 2012,"0311",NA,2012
"420","September",Sep 2012,"0311",NA,2012
"421","October",Oct 2012,"0311",NA,2013
"422","November",Nov 2012,"0311",NA,2013
"423","December",Dec 2012,"0311",NA,2013
"424","January",Jan 2013,"0311",NA,2013
"425","February",Feb 2013,"0311",NA,2013
"426","March",Mar 2013,"0311",NA,2013
"427","April",Apr 2013,"0311",NA,2013
"428","May",May 2013,"0311",NA,2013
"429","June",Jun 2013,"0311",NA,2013
"430","July",Jul 2013,"0311",NA,2013
"431","August",Aug 2013,"0311",NA,2013
"432","September",Sep 2013,"0311",NA,2013
"433","October",Oct 2013,"0311",NA,2014
"434","November",Nov 2013,"0311",NA,2014
"435","December",Dec 2013,"0311",NA,2014
"436","January",Jan 2014,"0311",NA,2014
"437","February",Feb 2014,"0311",NA,2014
"438","March",Mar 2014,"0311",NA,2014
"439","April",Apr 2014,"0311",NA,2014
"440","May",May 2014,"0311",NA,2014
"441","June",Jun 2014,"0311",NA,2014
"442","July",Jul 2014,"0311",NA,2014
"443","August",Aug 2014,"0311",NA,2014
"444","September",Sep 2014,"0311",NA,2014
"445","October",Oct 2014,"0311",241,2015
"446","November",Nov 2014,"0311",334,2015
"447","December",Dec 2014,"0311",475,2015
"448","January",Jan 2015,"0311",401,2015
"449","February",Feb 2015,"0311",392,2015
"450","March",Mar 2015,"0311",563,2015
"451","April",Apr 2015,"0311",446,2015
"452","May",May 2015,"0311",417,2015
"453","June",Jun 2015,"0311",467,2015
"454","July",Jul 2015,"0311",138,2015
"455","August",Aug 2015,"0311",265,2015
"456","September",Sep 2015,"0311",271,2015
"457","October",Oct 2015,"0311",364,2016
"458","November",Nov 2015,"0311",436,2016
"459","December",Dec 2015,"0311",579,2016
"460","January",Jan 2016,"0311",811,2016
"461","February",Feb 2016,"0311",505,2016
"462","March",Mar 2016,"0311",502,2016
"463","April",Apr 2016,"0311",257,2016
"464","May",May 2016,"0311",314,2016
"465","June",Jun 2016,"0311",426,2016
"466","July",Jul 2016,"0311",337,2016
"467","August",Aug 2016,"0311",252,2016
"468","September",Sep 2016,"0311",259,2016
"469","October",Oct 2016,"0311",258,2017
"470","November",Nov 2016,"0311",430,2017
"471","December",Dec 2016,"0311",556,2017
"472","January",Jan 2017,"0311",573,2017
"473","February",Feb 2017,"0311",638,2017
"474","March",Mar 2017,"0311",364,2017
"475","April",Apr 2017,"0311",386,2017
"476","May",May 2017,"0311",201,2017
"477","June",Jun 2017,"0311",318,2017
"478","July",Jul 2017,"0311",373,2017
"479","August",Aug 2017,"0311",313,2017
"480","September",Sep 2017,"0311",302,2017
"481","October",Oct 2017,"0311",318,2018
"482","November",Nov 2017,"0311",386,2018
"483","December",Dec 2017,"0311",546,2018
"484","January",Jan 2018,"0311",461,2018
"485","February",Feb 2018,"0311",426,2018
"486","March",Mar 2018,"0311",477,2018
"487","April",Apr 2018,"0311",199,2018
"488","May",May 2018,"0311",156,2018
"489","June",Jun 2018,"0311",264,2018
"490","July",Jul 2018,"0311",301,2018
"491","August",Aug 2018,"0311",159,2018
"492","September",Sep 2018,"0311",252,2018
"493","October",Oct 2018,"0311",234,2019
"494","November",Nov 2018,"0311",168,2019
"495","December",Dec 2018,"0311",469,2019
"496","January",Jan 2019,"0311",404,2019
"497","February",Feb 2019,"0311",608,2019
"498","March",Mar 2019,"0311",569,2019
"499","April",Apr 2019,"0311",302,2019
"500","May",May 2019,"0311",225,2019
"501","June",Jun 2019,"0311",247,2019
"502","July",Jul 2019,"0311",293,2019
"503","August",Aug 2019,"0311",217,2019
"504","September",Sep 2019,"0311",263,2019
"505","October",Oct 2019,"0311",328,2020
"506","November",Nov 2019,"0311",318,2020
"507","December",Dec 2019,"0311",457,2020
"508","January",Jan 2020,"0311",566,2020
"509","February",Feb 2020,"0311",271,2020
"510","March",Mar 2020,"0311",465,2020
"511","May",May 2020,"0311",NA,2020
"512","June",Jun 2020,"0311",168,2020
"513","July",Jul 2020,"0311",281,2020
"514","August",Aug 2020,"0311",235,2020
"515","September",Sep 2020,"0311",281,2020
"516","October",Oct 2020,"0311",273,2021
"517","November",Nov 2020,"0311",268,2021
"518","December",Dec 2020,"0311",419,2021
"519","January",Jan 2021,"0311",402,2021
"520","February",Feb 2021,"0311",389,2021
"521","March",Mar 2021,"0311",412,2021
"522","April",Apr 2021,"0311",267,2021
"523","May",May 2021,"0311",149,2021
"524","June",Jun 2021,"0311",143,2021
"525","July",Jul 2021,"0311",294,2021
"526","August",Aug 2021,"0311",180,2021
"527","September",Sep 2021,"0311",234,2021
"528","October",Oct 2021,"0311",381,2022
"529","November",Nov 2021,"0311",420,2022
"530","December",Dec 2021,"0311",426,2022
"531","January",Jan 2022,"0311",497,2022
"532","February",Feb 2022,"0311",344,2022
"533","March",Mar 2022,"0311",404,2022
"534","April",Apr 2022,"0311",293,2022
"535","May",May 2022,"0311",164,2022
"536","June",Jun 2022,"0311",151,2022
"537","July",Jul 2022,"0311",340,2022
"538","August",Aug 2022,"0311",318,2022
"539","September",Sep 2022,"0311",250,2022
"540","October",Oct 2022,"0311",191,2023
"541","November",Nov 2022,"0311",252,2023
"542","December",Dec 2022,"0311",485,2023
"543","January",Jan 2023,"0311",433,2023
"544","February",Feb 2023,"0311",369,2023
"545","March",Mar 2023,"0311",533.5,2023
"546","April",Apr 2023,"0311",441,2023
"547","May",May 2023,"0311",163,2023
"548","October",Oct 1977,"0317",NA,1978
"549","November",Nov 1977,"0317",NA,1978
"550","December",Dec 1977,"0317",1384.245,1978
"551","January",Jan 1978,"0317",NA,1978
"552","February",Feb 1978,"0317",NA,1978
"553","March",Mar 1978,"0317",1140.339,1978
"554","April",Apr 1978,"0317",NA,1978
"555","May",May 1978,"0317",NA,1978
"556","June",Jun 1978,"0317",1309.197,1978
"557","July",Jul 1978,"0317",NA,1978
"558","August",Aug 1978,"0317",NA,1978
"559","September",Sep 1978,"0317",NA,1978
"560","October",Oct 1978,"0317",NA,1979
"561","November",Nov 1978,"0317",NA,1979
"562","December",Dec 1978,"0317",NA,1979
"563","January",Jan 1979,"0317",1206.006,1979
"564","February",Feb 1979,"0317",1121.577,1979
"565","March",Mar 1979,"0317",1356.102,1979
"566","April",Apr 1979,"0317",1252.911,1979
"567","May",May 1979,"0317",1412.388,1979
"568","June",Jun 1979,"0317",1234.149,1979
"569","July",Jul 1979,"0317",302.2076,1979
"570","August",Aug 1979,"0317",677.8557,1979
"571","September",Sep 1979,"0317",1043.24565,1979
"572","October",Oct 1979,"0317",553.6802,1980
"573","November",Nov 1979,"0317",1130.958,1980
"574","December",Dec 1979,"0317",906.7521,1980
"575","January",Jan 1980,"0317",1637.532,1980
"576","February",Feb 1980,"0317",1478.055,1980
"577","March",Mar 1980,"0317",1159.101,1980
"578","April",Apr 1980,"0317",1009.005,1980
"579","May",May 1980,"0317",914.2569,1980
"580","June",Jun 1980,"0317",990.243,1980
"581","July",Jul 1980,"0317",2481.822,1980
"582","August",Aug 1980,"0317",2312.964,1980
"583","September",Sep 1980,"0317",1262.292,1980
"584","October",Oct 1980,"0317",152.1038,1981
"585","November",Nov 1980,"0317",NA,1981
"586","December",Dec 1980,"0317",2181.63,1981
"587","January",Jan 1981,"0317",690.051,1981
"588","February",Feb 1981,"0317",922.6998,1981
"589","March",Mar 1981,"0317",1196.625,1981
"590","April",Apr 1981,"0317",840.147,1981
"591","May",May 1981,"0317",711.6273,1981
"592","June",Jun 1981,"0317",1403.007,1981
"593","July",Jul 1981,"0317",1384.245,1981
"594","August",Aug 1981,"0317",1346.721,1981
"595","September",Sep 1981,"0317",825.1374,1981
"596","October",Oct 1981,"0317",1065.291,1982
"597","November",Nov 1981,"0317",633.6056,1982
"598","December",Dec 1981,"0317",904.8759,1982
"599","January",Jan 1982,"0317",999.624,1982
"600","February",Feb 1982,"0317",936.7713,1982
"601","March",Mar 1982,"0317",1102.815,1982
"602","April",Apr 1982,"0317",990.243,1982
"603","May",May 1982,"0317",1459.293,1982
"604","June",Jun 1982,"0317",859.8471,1982
"605","July",Jul 1982,"0317",1037.148,1982
"606","August",Aug 1982,"0317",437.6909,1982
"607","September",Sep 1982,"0317",781.0467,1982
"608","October",Oct 1982,"0317",1018.386,1983
"609","November",Nov 1982,"0317",NA,1983
"610","December",Dec 1982,"0317",796.0563,1983
