Locator,Year,Month,Parameter,Value,Units,AveQ (cfs)
0311,1975,Aug,Total Phosphorus,139.54698213836016,ug/L,
0311,1975,Sep,Ammonia Nitrogen,120,ug/L,
0311,1975,Sep,Fecal Coliform,100,CFU/100ml,
0311,1975,Sep,Nitrite + Nitrate Nitrogen,362.639,ug/L,
0311,1975,Sep,Temperature,14.100000000000001,deg C,
0311,1975,Sep,Total Phosphorus,192.71926428588574,ug/L,
0311,1975,Oct,Ammonia Nitrogen,320,ug/L,
0311,1975,Oct,Fecal Coliform,240,CFU/100ml,
0311,1975,Oct,Nitrite + Nitrate Nitrogen,265.16900000000004,ug/L,
0311,1975,Oct,Temperature,9.55,deg C,
0311,1975,Oct,Total Phosphorus,192.71926428588574,ug/L,
0311,1975,Nov,Ammonia Nitrogen,50,ug/L,
0311,1975,Nov,Fecal Coliform,51.5,CFU/100ml,
0311,1975,Nov,Nitrite + Nitrate Nitrogen,313.904,ug/L,
0311,1975,Nov,Temperature,5.699999999999999,deg C,
0311,1975,Nov,Total Phosphorus,129.11210144003928,ug/L,
0311,1975,Dec,Ammonia Nitrogen,80,ug/L,
0311,1975,Dec,Fecal Coliform,82.5,CFU/100ml,
0311,1975,Dec,Nitrite + Nitrate Nitrogen,318.77750000000003,ug/L,
0311,1975,Dec,Temperature,5.25,deg C,
0311,1975,Dec,Total Phosphorus,118.67288276093313,ug/L,
0311,1976,Jan,Ammonia Nitrogen,60,ug/L,
0311,1976,Jan,Fecal Coliform,65,CFU/100ml,
0311,1976,Jan,Nitrite + Nitrate Nitrogen,343.145,ug/L,
0311,1976,Jan,Temperature,3.55,deg C,
0311,1976,Jan,Total Phosphorus,150.04660211773574,ug/L,
0311,1976,Feb,Ammonia Nitrogen,65,ug/L,
0311,1976,Feb,Fecal Coliform,126.5,CFU/100ml,
0311,1976,Feb,Nitrite + Nitrate Nitrogen,362.639,ug/L,
0311,1976,Feb,Temperature,4,deg C,
0311,1976,Feb,Total Phosphorus,123.87593699990583,ug/L,
0311,1976,Mar,Ammonia Nitrogen,75,ug/L,
0311,1976,Mar,Fecal Coliform,48.5,CFU/100ml,
0311,1976,Mar,Nitrite + Nitrate Nitrogen,425.9945,ug/L,
0311,1976,Mar,Temperature,5.550000000000001,deg C,
0311,1976,Mar,Total Phosphorus,144.71894672679812,ug/L,
0311,1976,Apr,Ammonia Nitrogen,139.5,ug/L,
0311,1976,Apr,Conductivity,52.5,umhos/cm,
0311,1976,Apr,Dissolved Oxygen,11.25,mg/L,
0311,1976,Apr,Fecal Coliform,21.5,CFU/100ml,
0311,1976,Apr,Nitrite + Nitrate Nitrogen,95.57119999999999,ug/L,
0311,1976,Apr,Temperature,7.65,deg C,
0311,1976,Apr,Total Phosphorus,124.16159738494466,ug/L,
0311,1976,Apr,Total Suspended Solids,31.1,mg/L,
0311,1976,Apr,Turbidity,3,NTU,
0311,1976,Apr,"pH, Field",7,pH,
0311,1976,May,Ammonia Nitrogen,61.5,ug/L,
0311,1976,May,Conductivity,77.5,umhos/cm,
0311,1976,May,Dissolved Oxygen,9.4,mg/L,
0311,1976,May,Fecal Coliform,68.5,CFU/100ml,
0311,1976,May,Nitrite + Nitrate Nitrogen,132.12245000000001,ug/L,
0311,1976,May,Temperature,9.466666666666667,deg C,
0311,1976,May,Total Phosphorus,144.84354787876302,ug/L,
0311,1976,May,Total Suspended Solids,33.8,mg/L,
0311,1976,May,Turbidity,24,NTU,
0311,1976,May,"pH, Field",6.25,pH,
0311,1976,Jun,Ammonia Nitrogen,48.5,ug/L,
0311,1976,Jun,Conductivity,56.5,umhos/cm,
0311,1976,Jun,Dissolved Oxygen,9.3,mg/L,
0311,1976,Jun,Fecal Coliform,88.5,CFU/100ml,
0311,1976,Jun,Nitrite + Nitrate Nitrogen,337.78415000000007,ug/L,
0311,1976,Jun,Temperature,13.75,deg C,
