"","Year","Locator","mg/L"
"762",1999,"A499",10.8
"763",1999,"A617",11.9666666666667
"764",1999,"A620",11.1
"765",1999,"A630",9.835
"766",1999,"A680",10.8
"767",1999,"A685",11.3
"768",1999,"A690",11.5
"769",1999,"B484",8.8
"770",1999,"C320",10.85
"771",1999,"C370",10.9
"772",1999,"D320",10.8
"773",1999,"G320",11.3
"774",1999,"KSHZ06",11.1725
"775",1999,"KTHA03",11.05
"776",1999,"N484",10.9
"777",1999,"VA12A",NA
"778",1999,"VA41A",NA
"779",1999,"VA42A",NA
"780",1999,"VA45A",NA
"781",2000,"0311",9.6
"782",2000,"0317",5.55
"783",2000,"0321",10.5
"784",2000,"0322",11
"785",2000,"0430",10.8
"786",2000,"0434",11.05
"787",2000,"0438",10.4
"788",2000,"0440",10.75
"789",2000,"0442",10.9
"790",2000,"0444",9.095
"791",2000,"0446",11
"792",2000,"0470",10.3
"793",2000,"0474",11.35
"794",2000,"0478",10.9
"795",2000,"0484",10.5
"796",2000,"0631",11.3
"797",2000,"A315",6.89
"798",2000,"A320",10.85
"799",2000,"A432",10.9666666666667
"800",2000,"A456",10
"801",2000,"A499",10.8
"802",2000,"A617",11.2
"803",2000,"A620",11
"804",2000,"A630",9.845
"805",2000,"A680",10.275
"806",2000,"A685",11.3
"807",2000,"A690",11.1
"808",2000,"B484",8.865
"809",2000,"C320",10.4
"810",2000,"C370",11.3
"811",2000,"D320",10.9
"812",2000,"G320",11
"813",2000,"KSHZ06",11.05
"814",2000,"KTHA03",10.9
"815",2000,"N484",10.8
"816",2000,"VA12A",NA
"817",2000,"VA41A",NA
"818",2000,"VA42A",NA
"819",2000,"VA45A",NA
"820",2001,"0311",10.3
"821",2001,"0317",6.9
"822",2001,"0321",10.8
"823",2001,"0322",11.25
"824",2001,"0430",10.25
"825",2001,"0434",10.4
"826",2001,"0438",10.6
"827",2001,"0440",11.675
"828",2001,"0442",11.05
"829",2001,"0444",9.275
"830",2001,"0446",10.9
"831",2001,"0470",10
"832",2001,"0474",11.1
"833",2001,"0478",11.3
"834",2001,"0484",10.5
"835",2001,"0631",11.4
"836",2001,"A315",7.575
"837",2001,"A320",10.925
"838",2001,"A432",10.5
"839",2001,"A456",9.775
"840",2001,"A499",11
