"","Year","Locator","CFU/100mL"
"1069",2009,"A680",22.25
"1070",2009,"A685",NA
"1071",2009,"A690",NA
"1072",2009,"B484",NA
"1073",2009,"C320",NA
"1074",2009,"C370",NA
"1075",2009,"D320",31
"1076",2009,"G320",NA
"1077",2009,"KSHZ06",175
"1078",2009,"KTHA03",NA
"1079",2009,"N484",NA
"1080",2009,"VA42A",110
"1081",2010,"0311",NA
"1082",2010,"0317",234.75
"1083",2010,"0321",NA
"1084",2010,"0322",200.5
"1085",2010,"0430",235.25
"1086",2010,"0434",480
"1087",2010,"0438",30.5
"1088",2010,"0440",60.75
"1089",2010,"0442",NA
"1090",2010,"0444",NA
"1091",2010,"0446",335
"1092",2010,"0470",215
"1093",2010,"0474",260
"1094",2010,"0478",175.25
"1095",2010,"0484",61
"1096",2010,"0631",102.5
"1097",2010,"A315",NA
"1098",2010,"A320",42.5
"1099",2010,"A432",NA
"1100",2010,"A456",NA
"1101",2010,"A499",NA
"1102",2010,"A617",NA
"1103",2010,"A620",NA
"1104",2010,"A630",NA
"1105",2010,"A680",28
"1106",2010,"A685",NA
"1107",2010,"A690",NA
"1108",2010,"B484",NA
"1109",2010,"C320",NA
"1110",2010,"C370",NA
"1111",2010,"D320",28
"1112",2010,"G320",NA
"1113",2010,"KSHZ06",70
"1114",2010,"KTHA03",NA
"1115",2010,"N484",NA
"1116",2010,"VA42A",63
"1117",2011,"0311",NA
"1118",2011,"0317",99
"1119",2011,"0321",NA
"1120",2011,"0322",48.5
"1121",2011,"0430",97
"1122",2011,"0434",220
"1123",2011,"0438",14.25
"1124",2011,"0440",43.5
"1125",2011,"0442",NA
"1126",2011,"0444",NA
"1127",2011,"0446",160
"1128",2011,"0470",395
"1129",2011,"0474",88.5
"1130",2011,"0478",47.5
"1131",2011,"0484",57.5
"1132",2011,"0631",44.5
"1133",2011,"A315",NA
"1134",2011,"A320",45.75
"1135",2011,"A432",NA
"1136",2011,"A456",NA
"1137",2011,"A499",NA
"1138",2011,"A617",NA
"1139",2011,"A620",NA
"1140",2011,"A630",NA
"1141",2011,"A680",20.5
"1142",2011,"A685",NA
"1143",2011,"A690",NA
"1144",2011,"B484",NA
"1145",2011,"C320",NA
"1146",2011,"C370",NA
"1147",2011,"D320",40
"1148",2011,"G320",NA
"1149",2011,"KSHZ06",54.5
"1150",2011,"KTHA03",NA
"1151",2011,"N484",NA
"1152",2011,"VA42A",45.5
"1153",2012,"0311",NA
"1154",2012,"0317",64.5
"1155",2012,"0321",NA
"1156",2012,"0322",32
"1157",2012,"0430",53
"1158",2012,"0434",370
"1159",2012,"0438",13
"1160",2012,"0440",45
"1161",2012,"0442",NA
"1162",2012,"0444",NA
"1163",2012,"0446",194.833333333333
"1164",2012,"0470",365
"1165",2012,"0474",260
"1166",2012,"0478",52.5
"1167",2012,"0484",72.5
"1168",2012,"0631",36
"1169",2012,"A315",NA
"1170",2012,"A320",27.5
"1171",2012,"A432",NA
"1172",2012,"A456",NA
"1173",2012,"A499",NA
"1174",2012,"A617",NA
"1175",2012,"A620",NA
"1176",2012,"A630",NA
"1177",2012,"A680",54
"1178",2012,"A685",NA
"1179",2012,"A690",NA
"1180",2012,"B484",NA
"1181",2012,"C320",NA
"1182",2012,"C370",NA
"1183",2012,"D320",19
"1184",2012,"G320",NA
"1185",2012,"KSHZ06",72.5
"1186",2012,"KTHA03",NA
"1187",2012,"N484",NA
"1188",2012,"VA42A",29
"1189",2013,"0311",NA
"1190",2013,"0317",80
"1191",2013,"0321",17
"1192",2013,"0322",49
"1193",2013,"0430",210
"1194",2013,"0434",395
"1195",2013,"0438",27
"1196",2013,"0440",40
"1197",2013,"0442",43
"1198",2013,"0444",30
"1199",2013,"0446",215
"1200",2013,"0470",225
"1201",2013,"0474",460
"1202",2013,"0478",115
"1203",2013,"0484",72
"1204",2013,"0631",95
"1205",2013,"A315",30.5
"1206",2013,"A320",28
"1207",2013,"A432",55.5
"1208",2013,"A456",37
"1209",2013,"A499",NA
"1210",2013,"A617",44.5
"1211",2013,"A620",210.6
"1212",2013,"A630",71.5
"1213",2013,"A680",122.5
"1214",2013,"A685",17.5
"1215",2013,"A690",NA
"1216",2013,"B484",43
"1217",2013,"C320",21
"1218",2013,"C370",150
"1219",2013,"D320",23.5
"1220",2013,"G320",35.5
"1221",2013,"KSHZ06",91
"1222",2013,"KTHA03",25.5
"1223",2013,"N484",32
"1224",2013,"VA42A",130
"1225",2014,"0311",NA
"1226",2014,"0317",125
"1227",2014,"0321",69
"1228",2014,"0322",76
"1229",2014,"0430",135
"1230",2014,"0434",190
"1231",2014,"0438",22.5
"1232",2014,"0440",46
"1233",2014,"0442",22.5
"1234",2014,"0444",51.5
"1235",2014,"0446",235.125
"1236",2014,"0470",135
"1237",2014,"0474",435
"1238",2014,"0478",120
"1239",2014,"0484",52.5
"1240",2014,"0631",40.5
"1241",2014,"A315",42
"1242",2014,"A320",39
"1243",2014,"A432",51.75
"1244",2014,"A456",32.5
"1245",2014,"A499",NA
"1246",2014,"A617",27.5
"1247",2014,"A620",103.125
"1248",2014,"A630",37
"1249",2014,"A680",29.5
"1250",2014,"A685",8.5
"1251",2014,"A690",NA
"1252",2014,"B484",50
"1253",2014,"C320",24.5
"1254",2014,"C370",165
"1255",2014,"D320",25.5
"1256",2014,"G320",65
"1257",2014,"KSHZ06",66.5
"1258",2014,"KTHA03",27
"1259",2014,"N484",43.5
"1260",2014,"VA42A",68
"1261",2015,"0311",31.5
"1262",2015,"0317",245
"1263",2015,"0321",47
"1264",2015,"0322",120
"1265",2015,"0430",175
"1266",2015,"0434",160
"1267",2015,"0438",35
"1268",2015,"0440",36.5
"1269",2015,"0442",42
"1270",2015,"0444",40
"1271",2015,"0446",173.333333333333
"1272",2015,"0470",120
"1273",2015,"0474",435
"1274",2015,"0478",120
"1275",2015,"0484",86
"1276",2015,"0631",64.5
"1277",2015,"A315",120
"1278",2015,"A320",65
"1279",2015,"A432",61.5
"1280",2015,"A456",43.5
"1281",2015,"A499",33
"1282",2015,"A617",95
"1283",2015,"A620",127.5
"1284",2015,"A630",90
"1285",2015,"A680",59
"1286",2015,"A685",23.5
"1287",2015,"A690",5
"1288",2015,"B484",41.5
"1289",2015,"C320",18.5
"1290",2015,"C370",120
"1291",2015,"D320",21.5
"1292",2015,"G320",130
"1293",2015,"KSHZ06",105
"1294",2015,"KTHA03",29.5
"1295",2015,"N484",51.3333333333333
"1296",2015,"VA42A",76
"1297",2016,"0311",27.5
"1298",2016,"0317",280
"1299",2016,"0321",38.5
"1300",2016,"0322",75.5
"1301",2016,"0430",285
"1302",2016,"0434",270
"1303",2016,"0438",39.5
"1304",2016,"0440",54
"1305",2016,"0442",47
"1306",2016,"0444",45
"1307",2016,"0446",255
"1308",2016,"0470",100
"1309",2016,"0474",300
"1310",2016,"0478",90
"1311",2016,"0484",110
"1312",2016,"0631",82.5
"1313",2016,"A315",79.5
"1314",2016,"A320",51
"1315",2016,"A432",72
"1316",2016,"A456",65.5
"1317",2016,"A499",37.5
"1318",2016,"A617",81.5
"1319",2016,"A620",323.325
"1320",2016,"A630",123
"1321",2016,"A680",52.5
"1322",2016,"A685",19
"1323",2016,"A690",45.5
"1324",2016,"B484",36.5
"1325",2016,"C320",20
"1326",2016,"C370",130
"1327",2016,"D320",24
"1328",2016,"G320",53.5
"1329",2016,"KSHZ06",260
"1330",2016,"KTHA03",17
"1331",2016,"N484",53.5
"1332",2016,"VA42A",74.5
"1333",2017,"0311",36.5
"1334",2017,"0317",270
"1335",2017,"0321",48
"1336",2017,"0322",74
"1337",2017,"0430",205
"1338",2017,"0434",425
"1339",2017,"0438",28
"1340",2017,"0440",50
"1341",2017,"0442",60.5
"1342",2017,"0444",22.5
"1343",2017,"0446",192.142857142857
"1344",2017,"0470",125
"1345",2017,"0474",395
"1346",2017,"0478",89.5
"1347",2017,"0484",46
"1348",2017,"0631",24
"1349",2017,"A315",109.5
"1350",2017,"A320",49
"1351",2017,"A432",195
"1352",2017,"A456",78
"1353",2017,"A499",17
"1354",2017,"A617",57.5
"1355",2017,"A620",242
"1356",2017,"A630",69
"1357",2017,"A680",27.5
"1358",2017,"A685",10
"1359",2017,"A690",32
"1360",2017,"B484",25
"1361",2017,"C320",20.5
"1362",2017,"C370",150
"1363",2017,"D320",15.5
"1364",2017,"G320",48
"1365",2017,"KSHZ06",73.5
"1366",2017,"KTHA03",18.5
"1367",2017,"N484",43
"1368",2017,"VA42A",180
"1369",2018,"0311",19
"1370",2018,"0317",115
"1371",2018,"0321",34
"1372",2018,"0322",84
"1373",2018,"0430",99
"1374",2018,"0434",210
"1375",2018,"0438",30.5
"1376",2018,"0440",44
"1377",2018,"0442",38.5
"1378",2018,"0444",37
"1379",2018,"0446",378.125
"1380",2018,"0470",92
"1381",2018,"0474",485
"1382",2018,"0478",61
"1383",2018,"0484",40
"1384",2018,"0631",49.5
"1385",2018,"A315",76
"1386",2018,"A320",33.5
"1387",2018,"A432",157.5
"1388",2018,"A456",100
"1389",2018,"A499",22
"1390",2018,"A617",61.5
"1391",2018,"A620",208.125
"1392",2018,"A630",47
"1393",2018,"A680",33.5
"1394",2018,"A685",20.5
"1395",2018,"A690",22
"1396",2018,"B484",19.5
"1397",2018,"C320",18
"1398",2018,"C370",215
"1399",2018,"D320",18.5
"1400",2018,"G320",43.5
"1401",2018,"KSHZ06",93
"1402",2018,"KTHA03",13.25
"1403",2018,"N484",57.5
"1404",2018,"VA42A",78
"1405",2019,"0311",56
"1406",2019,"0317",310
"1407",2019,"0321",43.5
"1408",2019,"0322",85
"1409",2019,"0430",110
"1410",2019,"0434",170
"1411",2019,"0438",35
"1412",2019,"0440",49.5
"1413",2019,"0442",43
"1414",2019,"0444",46
"1415",2019,"0446",185
"1416",2019,"0470",71.5
"1417",2019,"0474",565
"1418",2019,"0478",74.5
"1419",2019,"0484",62
"1420",2019,"0631",64
"1421",2019,"A315",96
"1422",2019,"A320",49
"1423",2019,"A432",160
"1424",2019,"A456",78
"1425",2019,"A499",25
"1426",2019,"A617",102
"1427",2019,"A620",120.5
"1428",2019,"A630",225
"1429",2019,"A680",75
"1430",2019,"A685",14.5
"1431",2019,"A690",23
"1432",2019,"B484",31.5
"1433",2019,"C320",20
"1434",2019,"C370",120
"1435",2019,"D320",25.5
"1436",2019,"G320",47.5
"1437",2019,"KSHZ06",66
"1438",2019,"KTHA03",16.75
"1439",2019,"N484",63
"1440",2019,"VA42A",56
"1441",2020,"0311",28.75
"1442",2020,"0317",92
"1443",2020,"0321",57
"1444",2020,"0322",35.5
"1445",2020,"0430",185
"1446",2020,"0434",103.5
"1447",2020,"0438",22
"1448",2020,"0440",76.5
"1449",2020,"0442",36
"1450",2020,"0444",45.25
"1451",2020,"0446",150.75
"1452",2020,"0470",62
"1453",2020,"0474",195
"1454",2020,"0478",75
"1455",2020,"0484",57
"1456",2020,"0631",31
"1457",2020,"A315",106.5
"1458",2020,"A320",25.5
"1459",2020,"A432",110.5
"1460",2020,"A456",66
"1461",2020,"A499",13.5
"1462",2020,"A617",33
"1463",2020,"A620",89.5
"1464",2020,"A630",62
"1465",2020,"A680",34
"1466",2020,"A685",11.5
"1467",2020,"A690",14
"1468",2020,"B484",27.5
"1469",2020,"C320",21.5
"1470",2020,"C370",225
"1471",2020,"D320",42.5
"1472",2020,"G320",58
"1473",2020,"KSHZ06",82
"1474",2020,"KTHA03",15.5
"1475",2020,"N484",57.5
"1476",2020,"VA42A",51.5
"1477",2021,"0311",NA
"1478",2021,"0317",NA
"1479",2021,"0321",NA
"1480",2021,"0322",NA
"1481",2021,"0430",NA
"1482",2021,"0434",NA
"1483",2021,"0438",NA
"1484",2021,"0440",NA
"1485",2021,"0442",NA
"1486",2021,"0444",NA
"1487",2021,"0446",NA
"1488",2021,"0470",NA
"1489",2021,"0474",NA
"1490",2021,"0478",NA
"1491",2021,"0484",NA
"1492",2021,"0631",NA
"1493",2021,"A315",NA
"1494",2021,"A320",NA
"1495",2021,"A432",NA
"1496",2021,"A456",NA
"1497",2021,"A499",NA
"1498",2021,"A617",NA
"1499",2021,"A620",NA
"1500",2021,"A630",NA
"1501",2021,"A680",NA
"1502",2021,"A685",NA
"1503",2021,"A690",NA
"1504",2021,"B484",NA
"1505",2021,"C320",NA
"1506",2021,"C370",NA
"1507",2021,"D320",NA
"1508",2021,"G320",NA
"1509",2021,"KSHZ06",NA
"1510",2021,"KTHA03",NA
"1511",2021,"N484",NA
"1512",2021,"VA42A",NA
"1513",2022,"0311",NA
"1514",2022,"0317",NA
"1515",2022,"0321",NA
"1516",2022,"0322",NA
"1517",2022,"0430",NA
"1518",2022,"0434",NA
"1519",2022,"0438",NA
"1520",2022,"0440",NA
"1521",2022,"0442",NA
"1522",2022,"0444",NA
"1523",2022,"0446",NA
"1524",2022,"0470",NA
"1525",2022,"0474",NA
"1526",2022,"0478",NA
"1527",2022,"0484",NA
"1528",2022,"0631",NA
"1529",2022,"A315",NA
"1530",2022,"A320",NA
"1531",2022,"A432",NA
"1532",2022,"A456",NA
"1533",2022,"A499",NA
"1534",2022,"A617",NA
"1535",2022,"A620",NA
"1536",2022,"A630",NA
"1537",2022,"A680",NA
"1538",2022,"A685",NA
"1539",2022,"A690",NA
"1540",2022,"B484",NA
"1541",2022,"C320",NA
"1542",2022,"C370",NA
"1543",2022,"D320",NA
"1544",2022,"G320",NA
"1545",2022,"KSHZ06",NA
"1546",2022,"KTHA03",NA
"1547",2022,"N484",NA
"1548",2022,"VA42A",NA
