"","Year","Locator","NTU"
"599",1995,"0478",3.475
"600",1995,"0484",3.65
"601",1995,"0631",2.1
"602",1995,"A315",6.05
"603",1995,"A320",1.05
"604",1995,"A432",4.35
"605",1995,"A456",3.75
"606",1995,"A499",1.2
"607",1995,"A617",2.7
"608",1995,"A620",NA
"609",1995,"A630",10
"610",1995,"A680",1.75
"611",1995,"A685",NA
"612",1995,"A690",1.2
"613",1995,"B484",1.9
"614",1995,"C320",0.7
"615",1995,"C370",2.625
"616",1995,"D320",0.5
"617",1995,"G320",1.1
"618",1995,"KSHZ06",2.08333333333333
"619",1995,"KTHA03",0.5
"620",1995,"N484",1.25
"621",1995,"VA12A",NA
"622",1995,"VA41A",NA
"623",1995,"VA42A",NA
"624",1995,"VA45A",NA
"625",1996,"0311",3.7
"626",1996,"0317",10.9833333333333
"627",1996,"0321",1.7
"628",1996,"0322",3.55
"629",1996,"0430",2.4
"630",1996,"0434",2.8
"631",1996,"0438",NA
"632",1996,"0440",4.125
"633",1996,"0442",3.35
"634",1996,"0444",2.6
"635",1996,"0446",3.35
"636",1996,"0470",2
"637",1996,"0474",2.9
"638",1996,"0478",3.025
"639",1996,"0484",3.125
"640",1996,"0631",3
"641",1996,"A315",7.45
"642",1996,"A320",2.3
"643",1996,"A432",3.3
"644",1996,"A456",2.75
"645",1996,"A499",1.6
"646",1996,"A617",4.35
"647",1996,"A620",2.4
"648",1996,"A630",6.5
"649",1996,"A680",2.1
"650",1996,"A685",1.45
"651",1996,"A690",1.61666666666667
"652",1996,"B484",2.45
"653",1996,"C320",1.1
"654",1996,"C370",2.9
"655",1996,"D320",1
"656",1996,"G320",1.4
"657",1996,"KSHZ06",1.8
"658",1996,"KTHA03",0.95
"659",1996,"N484",1.4
"660",1996,"VA12A",NA
"661",1996,"VA41A",NA
"662",1996,"VA42A",NA
"663",1996,"VA45A",NA
"664",1997,"0311",4.1
"665",1997,"0317",14
"666",1997,"0321",1.4
"667",1997,"0322",1.75
"668",1997,"0430",1.75
"669",1997,"0434",3.4
"670",1997,"0438",2.55
"671",1997,"0440",1.8
"672",1997,"0442",2.1
"673",1997,"0444",2.6
"674",1997,"0446",2
"675",1997,"0470",2.2
"676",1997,"0474",2.95
"677",1997,"0478",3.4
"678",1997,"0484",3.85
"679",1997,"0631",2.15
"680",1997,"A315",7.25
"681",1997,"A320",1.55
"682",1997,"A432",3.4
"683",1997,"A456",3.2
"684",1997,"A499",1.7
"685",1997,"A617",1.5
"686",1997,"A620",1.85
"687",1997,"A630",4.8
"688",1997,"A680",2.4
"689",1997,"A685",1.8
"690",1997,"A690",2.9
"691",1997,"B484",3
"692",1997,"C320",0.65
"693",1997,"C370",3.2
"694",1997,"D320",0.85
"695",1997,"G320",1.1
"696",1997,"KSHZ06",2.425
"697",1997,"KTHA03",1.6
"698",1997,"N484",1.5
"699",1997,"VA12A",NA
"700",1997,"VA41A",NA
"701",1997,"VA42A",NA
"702",1997,"VA45A",NA
"703",1998,"0311",3.1
"704",1998,"0317",14.5666666666667
"705",1998,"0321",3.025
"706",1998,"0322",3.9625
"707",1998,"0430",3
"708",1998,"0434",4.35
"709",1998,"0438",3.975
"710",1998,"0440",4.1
"711",1998,"0442",5.05
"712",1998,"0444",3.6
"713",1998,"0446",2.8
"714",1998,"0470",3.4
"715",1998,"0474",4.2
"716",1998,"0478",3.675
"717",1998,"0484",3.85
"718",1998,"0631",3.1
"719",1998,"A315",9.55
"720",1998,"A320",1.75
"721",1998,"A432",5.3
"722",1998,"A456",4.7625
"723",1998,"A499",2.46666666666667
