"","Year","Locator","deg. C"
"618",1995,"KSHZ06",10.175
"619",1995,"KTHA03",9.9
"620",1995,"N484",10.7
"621",1995,"VA12A",NA
"622",1995,"VA41A",NA
"623",1995,"VA42A",NA
"624",1995,"VA45A",NA
"625",1996,"0311",11.4
"626",1996,"0317",12.25
"627",1996,"0321",10.4666666666667
"628",1996,"0322",11.5083333333333
"629",1996,"0430",11.2
"630",1996,"0434",11.45
"631",1996,"0438",NA
"632",1996,"0440",11.025
"633",1996,"0442",11.025
"634",1996,"0444",11.875
"635",1996,"0446",12.1416666666667
"636",1996,"0470",11.675
"637",1996,"0474",10.8
"638",1996,"0478",9.86666666666667
"639",1996,"0484",11.4833333333333
"640",1996,"0631",11.025
"641",1996,"A315",12
"642",1996,"A320",11.1
"643",1996,"A432",11.3166666666667
"644",1996,"A456",11.725
"645",1996,"A499",11.4
"646",1996,"A617",11.6
"647",1996,"A620",11.2
"648",1996,"A630",10.7833333333333
"649",1996,"A680",10.9
"650",1996,"A685",10.85
"651",1996,"A690",10.8
"652",1996,"B484",12.15
"653",1996,"C320",11.4
"654",1996,"C370",12.3
"655",1996,"D320",11.2
"656",1996,"G320",11.7
"657",1996,"KSHZ06",10.7
"658",1996,"KTHA03",10.6
"659",1996,"N484",11.8
"660",1996,"VA12A",NA
"661",1996,"VA41A",NA
"662",1996,"VA42A",NA
"663",1996,"VA45A",NA
"664",1997,"0311",10
"665",1997,"0317",13.2
"666",1997,"0321",10.075
"667",1997,"0322",10.4166666666667
"668",1997,"0430",11.85
"669",1997,"0434",12.2
"670",1997,"0438",11.35
"671",1997,"0440",11.3
"672",1997,"0442",11.8
"673",1997,"0444",12.2
"674",1997,"0446",12.6
"675",1997,"0470",11.4
"676",1997,"0474",11.35
"677",1997,"0478",11.4
"678",1997,"0484",11.85
"679",1997,"0631",11
"680",1997,"A315",11.5
"681",1997,"A320",10.725
"682",1997,"A432",12.35
"683",1997,"A456",12.05
"684",1997,"A499",11.5
"685",1997,"A617",11.25
"686",1997,"A620",11.5
"687",1997,"A630",11.5
"688",1997,"A680",10.9
"689",1997,"A685",10.25
"690",1997,"A690",10.15
"691",1997,"B484",10.1
"692",1997,"C320",10.7
"693",1997,"C370",15
"694",1997,"D320",11.3
"695",1997,"G320",12.05
"696",1997,"KSHZ06",10.25
"697",1997,"KTHA03",11.4
"698",1997,"N484",11.6
"699",1997,"VA12A",NA
"700",1997,"VA41A",NA
"701",1997,"VA42A",NA
"702",1997,"VA45A",NA
"703",1998,"0311",11.3
"704",1998,"0317",11.125
"705",1998,"0321",9.43333333333333
"706",1998,"0322",9.0625
"707",1998,"0430",10.2
"708",1998,"0434",9.3
"709",1998,"0438",9.5
"710",1998,"0440",9.8
"711",1998,"0442",9.725
"712",1998,"0444",10.1
"713",1998,"0446",11.7
"714",1998,"0470",10.125
"715",1998,"0474",9
"716",1998,"0478",9.6
"717",1998,"0484",10.7
"718",1998,"0631",9.75
"719",1998,"A315",10.35
"720",1998,"A320",9.45
"721",1998,"A432",10.4333333333333
"722",1998,"A456",11.25
"723",1998,"A499",10.775
"724",1998,"A617",10.375
"725",1998,"A620",10.325
"726",1998,"A630",10.85
"727",1998,"A680",9.775
"728",1998,"A685",9.26666666666667
"729",1998,"A690",8.9
"730",1998,"B484",11
"731",1998,"C320",11.1
"732",1998,"C370",10
"733",1998,"D320",10.8
"734",1998,"G320",11.7
"735",1998,"KSHZ06",10.35
"736",1998,"KTHA03",11
"737",1998,"N484",11.5
"738",1998,"VA12A",NA
"739",1998,"VA41A",NA
"740",1998,"VA42A",NA
"741",1998,"VA45A",NA
"742",1999,"0311",9.9
"743",1999,"0317",11.25
"744",1999,"0321",9.8
"745",1999,"0322",9.4
"746",1999,"0430",9.625
"747",1999,"0434",10.4875
"748",1999,"0438",9.15
"749",1999,"0440",9.7
"750",1999,"0442",9.45
"751",1999,"0444",9.55
"752",1999,"0446",11.05
"753",1999,"0470",9.55
"754",1999,"0474",10
"755",1999,"0478",9.35
"756",1999,"0484",10.45
"757",1999,"0631",8.85
"758",1999,"A315",10.35
"759",1999,"A320",9.5
"760",1999,"A432",10.1
"761",1999,"A456",10.6
"762",1999,"A499",10.45
"763",1999,"A617",8.95
"764",1999,"A620",9.7125
"765",1999,"A630",9.5
"766",1999,"A680",8.35
"767",1999,"A685",8.8
"768",1999,"A690",8.25
"769",1999,"B484",10.4
"770",1999,"C320",9.95
"771",1999,"C370",9.5
"772",1999,"D320",9.85
"773",1999,"G320",10.2
"774",1999,"KSHZ06",9.85
"775",1999,"KTHA03",9.65
"776",1999,"N484",10.6
"777",1999,"VA12A",NA
"778",1999,"VA41A",NA
"779",1999,"VA42A",NA
"780",1999,"VA45A",NA
"781",2000,"0311",9.975
"782",2000,"0317",11.5
"783",2000,"0321",9.42
"784",2000,"0322",9.28
"785",2000,"0430",9.3
"786",2000,"0434",10.675
"787",2000,"0438",9.4
"788",2000,"0440",10.35
"789",2000,"0442",10.6
"790",2000,"0444",11
"791",2000,"0446",11.325
"792",2000,"0470",9.1275
"793",2000,"0474",9.24
"794",2000,"0478",9.385
"795",2000,"0484",10.2
"796",2000,"0631",9.8
"797",2000,"A315",10.9
"798",2000,"A320",9.98
"799",2000,"A432",9.69833333333333
"800",2000,"A456",10.575
"801",2000,"A499",10.6
"802",2000,"A617",10.25
"803",2000,"A620",10.1
"804",2000,"A630",10.85
"805",2000,"A680",9.6
"806",2000,"A685",9.01
"807",2000,"A690",8.85
"808",2000,"B484",9.4
"809",2000,"C320",10.5
"810",2000,"C370",NA
"811",2000,"D320",9.92
"812",2000,"G320",10.6
"813",2000,"KSHZ06",9.465
"814",2000,"KTHA03",9.79
"815",2000,"N484",9.8
"816",2000,"VA12A",NA
"817",2000,"VA41A",NA
"818",2000,"VA42A",NA
"819",2000,"VA45A",NA
"820",2001,"0311",8.14
"821",2001,"0317",11.13125
"822",2001,"0321",9.6025
"823",2001,"0322",9.74
"824",2001,"0430",9.9125
"825",2001,"0434",10.87
"826",2001,"0438",9.8675
"827",2001,"0440",10.015
"828",2001,"0442",9.7925
"829",2001,"0444",10.46
"830",2001,"0446",11.565
"831",2001,"0470",10.0625
"832",2001,"0474",11.9
"833",2001,"0478",7.955
"834",2001,"0484",10.275
"835",2001,"0631",9.1875
"836",2001,"A315",11.0225
"837",2001,"A320",10.2125
"838",2001,"A432",10.1825
"839",2001,"A456",10.54375
"840",2001,"A499",10.35
"841",2001,"A617",9.57
"842",2001,"A620",10.83
"843",2001,"A630",9.4125
"844",2001,"A680",9.7075
"845",2001,"A685",9.115
"846",2001,"A690",9.325
"847",2001,"B484",8.13
"848",2001,"C320",8.285
"849",2001,"C370",7.6
"850",2001,"D320",8.32
"851",2001,"G320",7.69
"852",2001,"KSHZ06",9.9875
"853",2001,"KTHA03",8.4
"854",2001,"N484",8.33
"855",2001,"VA12A",NA
"856",2001,"VA41A",NA
"857",2001,"VA42A",NA
"858",2001,"VA45A",NA
"859",2002,"0311",10.7
"860",2002,"0317",11.9
"861",2002,"0321",9.8
"862",2002,"0322",9.75
"863",2002,"0430",10.35
"864",2002,"0434",10.85
"865",2002,"0438",9.75
"866",2002,"0440",10.25
"867",2002,"0442",10.65
"868",2002,"0444",11
"869",2002,"0446",11.7
"870",2002,"0470",10.35
"871",2002,"0474",10.4
"872",2002,"0478",9.8
"873",2002,"0484",10.3
"874",2002,"0631",10.05
"875",2002,"A315",10.9
"876",2002,"A320",10.375
"877",2002,"A432",10.475
"878",2002,"A456",11.45
"879",2002,"A499",10.85
"880",2002,"A617",9.8
"881",2002,"A620",11.05
"882",2002,"A630",10.4
"883",2002,"A680",10.075
"884",2002,"A685",9.55
"885",2002,"A690",9.75
"886",2002,"B484",11
"887",2002,"C320",10.95
"888",2002,"C370",12
"889",2002,"D320",10.65
"890",2002,"G320",11.7
"891",2002,"KSHZ06",10.8
"892",2002,"KTHA03",10.9
"893",2002,"N484",10.9
"894",2002,"VA12A",NA
"895",2002,"VA41A",NA
"896",2002,"VA42A",NA
"897",2002,"VA45A",NA
"898",2003,"0311",10
"899",2003,"0317",10.85
"900",2003,"0321",9.9
"901",2003,"0322",9.275
"902",2003,"0430",10.1
"903",2003,"0434",10.5
"904",2003,"0438",10.5
"905",2003,"0440",9.9
"906",2003,"0442",10.45
"907",2003,"0444",10.65
"908",2003,"0446",11.55
"909",2003,"0470",10.15
"910",2003,"0474",10.65
"911",2003,"0478",10
"912",2003,"0484",10.95
"913",2003,"0631",9.75
"914",2003,"A315",10.875
"915",2003,"A320",9.925
"916",2003,"A432",10.5
"917",2003,"A456",11.05
"918",2003,"A499",10.8
"919",2003,"A617",9.45
"920",2003,"A620",10.7
"921",2003,"A630",9.75
"922",2003,"A680",9.95
"923",2003,"A685",9.75
"924",2003,"A690",8.9
"925",2003,"B484",12.2
"926",2003,"C320",10.6
"927",2003,"C370",9.3
"928",2003,"D320",10
"929",2003,"G320",10.4
"930",2003,"KSHZ06",10.65
"931",2003,"KTHA03",10.5
"932",2003,"N484",11
"933",2003,"VA12A",NA
"934",2003,"VA41A",NA
"935",2003,"VA42A",NA
"936",2003,"VA45A",NA
"937",2004,"0311",10.3
"938",2004,"0317",12.8
"939",2004,"0321",10.3
"940",2004,"0322",10.3
"941",2004,"0430",10.45
"942",2004,"0434",11.25
"943",2004,"0438",11.15
"944",2004,"0440",11.45
"945",2004,"0442",11.65
"946",2004,"0444",12.05
"947",2004,"0446",11.85
"948",2004,"0470",10.6
"949",2004,"0474",10.95
"950",2004,"0478",10.3
"951",2004,"0484",11.65
"952",2004,"0631",11.3
"953",2004,"A315",12.3333333333333
"954",2004,"A320",10.95
"955",2004,"A432",10.8
"956",2004,"A456",11.725
"957",2004,"A499",10.95
"958",2004,"A617",10.95
"959",2004,"A620",11.3
"960",2004,"A630",11.6
"961",2004,"A680",10.85
"962",2004,"A685",9.45
"963",2004,"A690",9.8
"964",2004,"B484",10.7
"965",2004,"C320",10.8
"966",2004,"C370",11
"967",2004,"D320",10.4
"968",2004,"G320",11.8
"969",2004,"KSHZ06",10.7
"970",2004,"KTHA03",10.1
"971",2004,"N484",9.2
"972",2004,"VA12A",NA
"973",2004,"VA41A",NA
"974",2004,"VA42A",NA
"975",2004,"VA45A",NA
"976",2005,"0311",10.7
"977",2005,"0317",11.95
"978",2005,"0321",9.6
"979",2005,"0322",9.85
"980",2005,"0430",10.45
"981",2005,"0434",11.45
"982",2005,"0438",10.575
"983",2005,"0440",10.85
"984",2005,"0442",10.95
"985",2005,"0444",11.45
"986",2005,"0446",11.6
"987",2005,"0470",10.55
