"","Year","Locator","mg/L"
"715",1997,"A320",5.25
"716",1997,"A432",9.7
"717",1997,"A456",3.55
"718",1997,"A499",5.8
"719",1997,"A617",2.25
"720",1997,"A620",1
"721",1997,"A630",7.8
"722",1997,"A680",6.5
"723",1997,"A685",3.35
"724",1997,"A690",8.45
"725",1997,"B484",3.8
"726",1997,"C320",2.25
"727",1997,"C370",3
"728",1997,"D320",2.7
"729",1997,"G320",3.3
"730",1997,"KSHZ06",3.7
"731",1997,"KTHA03",2.625
"732",1997,"LSIN1",NA
"733",1997,"LSIN9",NA
"734",1997,"N484",2.95
"735",1997,"VA12A",NA
"736",1997,"VA41A",NA
"737",1997,"VA42A",NA
"738",1997,"VA45A",NA
"739",1998,"0311",5.8
"740",1998,"0317",12.6
"741",1998,"0321",8.49583333333333
"742",1998,"0322",6.4
"743",1998,"0430",6.7
"744",1998,"0434",6.425
"745",1998,"0438",8.85
"746",1998,"0440",8.25
"747",1998,"0442",5.575
"748",1998,"0444",8.125
"749",1998,"0446",4.8
"750",1998,"0470",5.95
"751",1998,"0474",4.8
"752",1998,"0478",6.38333333333333
"753",1998,"0484",8.75
"754",1998,"0631",5.975
"755",1998,"A315",8
"756",1998,"A320",3.2
"757",1998,"A432",8.76666666666667
"758",1998,"A456",4.25
"759",1998,"A499",6
"760",1998,"A617",3.725
"761",1998,"A620",0.825
"762",1998,"A630",8.2
"763",1998,"A680",4.12333333333333
"764",1998,"A685",4.35
"765",1998,"A690",2.125
"766",1998,"B484",7
"767",1998,"C320",1.6
"768",1998,"C370",3.65
"769",1998,"D320",1.6
"770",1998,"G320",2.7
"771",1998,"KSHZ06",5.85
"772",1998,"KTHA03",4.9
"773",1998,"LSIN1",NA
"774",1998,"LSIN9",NA
"775",1998,"N484",3.2
"776",1998,"VA12A",NA
"777",1998,"VA41A",NA
"778",1998,"VA42A",NA
"779",1998,"VA45A",NA
"780",1999,"0311",9.15
"781",1999,"0317",8.5
"782",1999,"0321",4.45
"783",1999,"0322",3.7
"784",1999,"0430",3.5
"785",1999,"0434",7.6
"786",1999,"0438",2.4
"787",1999,"0440",5.91666666666667
"788",1999,"0442",12.45
"789",1999,"0444",3.65
"790",1999,"0446",3.85
"791",1999,"0470",4.45
"792",1999,"0474",6
"793",1999,"0478",4.65
"794",1999,"0484",6.1
"795",1999,"0631",5.2
"796",1999,"A315",5.8
"797",1999,"A320",2.55
"798",1999,"A432",7.6
"799",1999,"A456",4.2
"800",1999,"A499",5.575
"801",1999,"A617",2.25
"802",1999,"A620",1.15
"803",1999,"A630",4.75
"804",1999,"A680",4.9
"805",1999,"A685",4.85
"806",1999,"A690",2.675
"807",1999,"B484",3.3
"808",1999,"C320",1.0025
"809",1999,"C370",2.9
"810",1999,"D320",1.575
"811",1999,"G320",1.85
"812",1999,"KSHZ06",5.5
"813",1999,"KTHA03",13.35
"814",1999,"LSIN1",NA
"815",1999,"LSIN9",NA
"816",1999,"N484",3.65
"817",1999,"VA12A",NA
"818",1999,"VA41A",NA
"819",1999,"VA42A",NA
"820",1999,"VA45A",NA
"821",2000,"0311",7.4
"822",2000,"0317",11.7
"823",2000,"0321",5.38333333333333
"824",2000,"0322",3.1
"825",2000,"0430",6.7
"826",2000,"0434",5.6
"827",2000,"0438",3.65
"828",2000,"0440",6.85
"829",2000,"0442",9.9
"830",2000,"0444",4.275
"831",2000,"0446",13.2
"832",2000,"0470",5
"833",2000,"0474",4.8
"834",2000,"0478",11.8
"835",2000,"0484",7
"836",2000,"0631",7.45
"837",2000,"A315",7.55
"838",2000,"A320",3.45
"839",2000,"A432",9.8
"840",2000,"A456",11.2
"841",2000,"A499",18.8
"842",2000,"A617",2.8
"843",2000,"A620",1.875
"844",2000,"A630",10.1
"845",2000,"A680",8.075
"846",2000,"A685",4.5
"847",2000,"A690",3.3
"848",2000,"B484",3.85
"849",2000,"C320",2.4
"850",2000,"C370",6.45
"851",2000,"D320",2.45
"852",2000,"G320",3.75
"853",2000,"KSHZ06",6.2
"854",2000,"KTHA03",4.525
"855",2000,"LSIN1",NA
"856",2000,"LSIN9",NA
"857",2000,"N484",4
"858",2000,"VA12A",NA
"859",2000,"VA41A",NA
"860",2000,"VA42A",NA
"861",2000,"VA45A",NA
"862",2001,"0311",4
"863",2001,"0317",8.775
"864",2001,"0321",7.45
"865",2001,"0322",2.875
"866",2001,"0430",6.3
"867",2001,"0434",7.45
"868",2001,"0438",4.2
"869",2001,"0440",3.75
"870",2001,"0442",3.285
"871",2001,"0444",6.25
"872",2001,"0446",3.35
"873",2001,"0470",4.125
"874",2001,"0474",4.2
"875",2001,"0478",5.4
"876",2001,"0484",6.95
"877",2001,"0631",4.2
"878",2001,"A315",13.1
"879",2001,"A320",3
"880",2001,"A432",9.65
"881",2001,"A456",4.825
"882",2001,"A499",6.675
"883",2001,"A617",1.1
"884",2001,"A620",1.45
"885",2001,"A630",4.55
"886",2001,"A680",3.75
"887",2001,"A685",3.46
"888",2001,"A690",3.23
"889",2001,"B484",5.6
"890",2001,"C320",1.7
"891",2001,"C370",2.475
"892",2001,"D320",3.3
"893",2001,"G320",4.4
"894",2001,"KSHZ06",3.9
"895",2001,"KTHA03",2.45
"896",2001,"LSIN1",NA
"897",2001,"LSIN9",NA
"898",2001,"N484",4.8
"899",2001,"VA12A",NA
"900",2001,"VA41A",NA
"901",2001,"VA42A",NA
"902",2001,"VA45A",NA
"903",2002,"0311",5.6
"904",2002,"0317",6.9
"905",2002,"0321",5.225
"906",2002,"0322",4.61666666666667
"907",2002,"0430",5.47
"908",2002,"0434",6.2
"909",2002,"0438",2.775
"910",2002,"0440",4.06
"911",2002,"0442",3.715
"912",2002,"0444",4.25
"913",2002,"0446",3.815
"914",2002,"0470",5.15
"915",2002,"0474",5.75
"916",2002,"0478",7.5375
"917",2002,"0484",7.6
"918",2002,"0631",6.1
"919",2002,"A315",10.725
"920",2002,"A320",3.6425
"921",2002,"A432",10.05
"922",2002,"A456",5.495
"923",2002,"A499",7.55
"924",2002,"A617",1.305
"925",2002,"A620",2.9
"926",2002,"A630",3.72
"927",2002,"A680",4.1
"928",2002,"A685",2.225
"929",2002,"A690",2.55
"930",2002,"B484",3.8
"931",2002,"C320",1.45
"932",2002,"C370",3.4
"933",2002,"D320",1.825
"934",2002,"G320",2.7
"935",2002,"KSHZ06",3.95
"936",2002,"KTHA03",2.95
"937",2002,"LSIN1",NA
"938",2002,"LSIN9",NA
"939",2002,"N484",3
"940",2002,"VA12A",NA
"941",2002,"VA41A",NA
"942",2002,"VA42A",NA
"943",2002,"VA45A",NA
"944",2003,"0311",6.18
"945",2003,"0317",6.53
"946",2003,"0321",4.725
"947",2003,"0322",2.85
"948",2003,"0430",2.9225
"949",2003,"0434",5.05
"950",2003,"0438",3.4
"951",2003,"0440",2.69
"952",2003,"0442",2
"953",2003,"0444",3.2
"954",2003,"0446",1.3
"955",2003,"0470",4.1275
"956",2003,"0474",5.475
"957",2003,"0478",4.05
"958",2003,"0484",5.595
"959",2003,"0631",4.8
"960",2003,"A315",6.255
"961",2003,"A320",3.3735
"962",2003,"A432",9.85
"963",2003,"A456",3.75
"964",2003,"A499",11.3
"965",2003,"A617",1.65
"966",2003,"A620",1.6
"967",2003,"A630",2.55
"968",2003,"A680",5.1975
"969",2003,"A685",3.175
"970",2003,"A690",2.2
"971",2003,"B484",4
"972",2003,"C320",1.1
"973",2003,"C370",3.03
"974",2003,"D320",2.2
"975",2003,"G320",3.2
"976",2003,"KSHZ06",2.93
"977",2003,"KTHA03",3.3
"978",2003,"LSIN1",NA
"979",2003,"LSIN9",NA
"980",2003,"N484",3.54
"981",2003,"VA12A",NA
"982",2003,"VA41A",NA
"983",2003,"VA42A",NA
"984",2003,"VA45A",NA
