"","Year","Locator","pH"
"427",1990,"VA41A",NA
"428",1990,"VA42A",NA
"429",1990,"VA45A",NA
"430",1991,"0311",7.35
"431",1991,"0317",7
"432",1991,"0321",NA
"433",1991,"0322",7.9
"434",1991,"0430",7.7
"435",1991,"0434",7.7
"436",1991,"0438",NA
"437",1991,"0440",7.7
"438",1991,"0442",7.9
"439",1991,"0444",7.3
"440",1991,"0446",7.4
"441",1991,"0470",7.4
"442",1991,"0474",7.6
"443",1991,"0478",7.5
"444",1991,"0484",7.18333333333333
"445",1991,"0631",7.4
"446",1991,"A315",7.05
"447",1991,"A320",7.5
"448",1991,"A432",7.7
"449",1991,"A456",7.5
"450",1991,"A499",7.9
"451",1991,"A617",NA
"452",1991,"A620",NA
"453",1991,"A630",7.5
"454",1991,"A680",NA
"455",1991,"A685",NA
"456",1991,"A690",NA
"457",1991,"B484",7.1
"458",1991,"C320",7.6
"459",1991,"C370",NA
"460",1991,"D320",7.45
"461",1991,"G320",7.5
"462",1991,"KSHZ06",8
"463",1991,"KTHA03",8
"464",1991,"N484",7.4
"465",1991,"VA12A",NA
"466",1991,"VA41A",NA
"467",1991,"VA42A",NA
"468",1991,"VA45A",NA
"469",1992,"0311",7.15
"470",1992,"0317",6.95
"471",1992,"0321",NA
"472",1992,"0322",7.75
"473",1992,"0430",7.6
"474",1992,"0434",7.55
"475",1992,"0438",NA
"476",1992,"0440",7.75
"477",1992,"0442",8.25
"478",1992,"0444",7.475
"479",1992,"0446",7.5
"480",1992,"0470",7.3
"481",1992,"0474",7.65
"482",1992,"0478",7.6
"483",1992,"0484",7.575
"484",1992,"0631",7.6
"485",1992,"A315",7.275
"486",1992,"A320",7.6
"487",1992,"A432",7.7
"488",1992,"A456",7.55
"489",1992,"A499",8.025
"490",1992,"A617",NA
"491",1992,"A620",NA
"492",1992,"A630",7.5
"493",1992,"A680",NA
"494",1992,"A685",NA
"495",1992,"A690",NA
"496",1992,"B484",7.25
"497",1992,"C320",7.45
"498",1992,"C370",NA
"499",1992,"D320",7.4
"500",1992,"G320",7.4
"501",1992,"KSHZ06",7.95
"502",1992,"KTHA03",8.1
"503",1992,"N484",7.7
"504",1992,"VA12A",NA
"505",1992,"VA41A",NA
"506",1992,"VA42A",NA
"507",1992,"VA45A",NA
"508",1993,"0311",6.925
"509",1993,"0317",6.855
"510",1993,"0321",7.3
"511",1993,"0322",7.275
"512",1993,"0430",7.2925
"513",1993,"0434",7.165
"514",1993,"0438",NA
"515",1993,"0440",7.24
"516",1993,"0442",7.775
"517",1993,"0444",6.84
"518",1993,"0446",7.275
"519",1993,"0470",7.3
"520",1993,"0474",7.145
"521",1993,"0478",7.07
"522",1993,"0484",7.115
"523",1993,"0631",7.2325
"524",1993,"A315",6.87
"525",1993,"A320",7.2825
"526",1993,"A432",7.42333333333333
"527",1993,"A456",7.3
"528",1993,"A499",7.7
"529",1993,"A617",NA
"530",1993,"A620",NA
"531",1993,"A630",7.215
"532",1993,"A680",NA
"533",1993,"A685",NA
"534",1993,"A690",NA
"535",1993,"B484",6.785
"536",1993,"C320",7.22
"537",1993,"C370",7.81
"538",1993,"D320",7.17
"539",1993,"G320",7.165
"540",1993,"KSHZ06",7.36
"541",1993,"KTHA03",7.495
"542",1993,"N484",7.05
"543",1993,"VA12A",NA
"544",1993,"VA41A",NA
"545",1993,"VA42A",NA
"546",1993,"VA45A",NA
"547",1994,"0311",7.035
"548",1994,"0317",6.795
"549",1994,"0321",7.355
"550",1994,"0322",7.445
"551",1994,"0430",7.59
"552",1994,"0434",7.6
"553",1994,"0438",NA
"554",1994,"0440",7.3125
"555",1994,"0442",7.88
"556",1994,"0444",7.1225
"557",1994,"0446",7.31
"558",1994,"0470",7.43
"559",1994,"0474",7.635
"560",1994,"0478",7.5275
"561",1994,"0484",7.45
"562",1994,"0631",7.21666666666667
"563",1994,"A315",7.02
"564",1994,"A320",7.33
"565",1994,"A432",7.685
"566",1994,"A456",7.3
"567",1994,"A499",7.825
"568",1994,"A617",NA
"569",1994,"A620",NA
"570",1994,"A630",7.195
"571",1994,"A680",NA
"572",1994,"A685",NA
"573",1994,"A690",NA
"574",1994,"B484",7.245
"575",1994,"C320",7.255
"576",1994,"C370",7.615
"577",1994,"D320",7.24
"578",1994,"G320",7.2175
"579",1994,"KSHZ06",7.85
"580",1994,"KTHA03",7.945
"581",1994,"N484",7.47
"582",1994,"VA12A",NA
"583",1994,"VA41A",NA
"584",1994,"VA42A",NA
"585",1994,"VA45A",NA
"586",1995,"0311",6.97
"587",1995,"0317",6.8225
"588",1995,"0321",7.355
"589",1995,"0322",7.67166666666667
"590",1995,"0430",7.4825
"591",1995,"0434",7.45133333333333
"592",1995,"0438",NA
"593",1995,"0440",7.595
"594",1995,"0442",7.9625
"595",1995,"0444",7.1475
"596",1995,"0446",7.33
"597",1995,"0470",7.275
"598",1995,"0474",7.52
"599",1995,"0478",7.5775
"600",1995,"0484",7.355
"601",1995,"0631",7.33833333333333
"602",1995,"A315",6.97833333333333
"603",1995,"A320",7.51416666666667
"604",1995,"A432",7.6475
"605",1995,"A456",7.285
"606",1995,"A499",7.96916666666667
"607",1995,"A617",7.75
"608",1995,"A620",NA
