"","Year","Locator","umhos/cm"
"693",1996,"N484",124.5
"694",1996,"VA12A",NA
"695",1996,"VA41A",NA
"696",1996,"VA42A",NA
"697",1996,"VA45A",NA
"698",1997,"0311",92.6
"699",1997,"0317",332
"700",1997,"0321",107
"701",1997,"0322",142
"702",1997,"0430",227
"703",1997,"0434",237
"704",1997,"0438",60.25
"705",1997,"0440",144
"706",1997,"0442",457
"707",1997,"0444",206
"708",1997,"0446",196
"709",1997,"0470",178.5
"710",1997,"0474",160
"711",1997,"0478",141
"712",1997,"0484",115.5
"713",1997,"0631",107
"714",1997,"A315",235.5
"715",1997,"A320",123.25
"716",1997,"A432",194.5
"717",1997,"A456",209.5
"718",1997,"A499",224
"719",1997,"A617",146
"720",1997,"A620",218
"721",1997,"A630",194
"722",1997,"A680",114.5
"723",1997,"A685",122
"724",1997,"A690",100.85
"725",1997,"B484",109
"726",1997,"C320",131.5
"727",1997,"C370",294
"728",1997,"D320",121.5
"729",1997,"G320",56
"730",1997,"KSHZ06",261
"731",1997,"KTHA03",238
"732",1997,"LSIN1",NA
"733",1997,"LSIN9",NA
"734",1997,"N484",131.5
"735",1997,"VA12A",NA
"736",1997,"VA41A",NA
"737",1997,"VA42A",NA
"738",1997,"VA45A",NA
"739",1998,"0311",103
"740",1998,"0317",307
"741",1998,"0321",112.5
"742",1998,"0322",149.5
"743",1998,"0430",210
"744",1998,"0434",219.5
"745",1998,"0438",77.05
"746",1998,"0440",181
"747",1998,"0442",434.5
"748",1998,"0444",215
"749",1998,"0446",188
"750",1998,"0470",180
"751",1998,"0474",167
"752",1998,"0478",142.5
"753",1998,"0484",124
"754",1998,"0631",111.8875
"755",1998,"A315",219.25
"756",1998,"A320",126
"757",1998,"A432",193.333333333333
"758",1998,"A456",191
"759",1998,"A499",221
"760",1998,"A617",137
"761",1998,"A620",238
"762",1998,"A630",188.0625
"763",1998,"A680",127.75
"764",1998,"A685",128.75
"765",1998,"A690",117.5
"766",1998,"B484",128
"767",1998,"C320",139
"768",1998,"C370",271.5
"769",1998,"D320",129
"770",1998,"G320",60.8
"771",1998,"KSHZ06",258.5
"772",1998,"KTHA03",246
"773",1998,"LSIN1",NA
"774",1998,"LSIN9",NA
"775",1998,"N484",134.5
"776",1998,"VA12A",NA
"777",1998,"VA41A",NA
"778",1998,"VA42A",NA
"779",1998,"VA45A",NA
"780",1999,"0311",93.3
"781",1999,"0317",304
"782",1999,"0321",109
"783",1999,"0322",137
"784",1999,"0430",179.75
"785",1999,"0434",199
"786",1999,"0438",60.85
"787",1999,"0440",162.25
"788",1999,"0442",412.5
"789",1999,"0444",202.75
"790",1999,"0446",173.5
"791",1999,"0470",155.75
"792",1999,"0474",143.75
"793",1999,"0478",125.175
"794",1999,"0484",121
"795",1999,"0631",104.5
"796",1999,"A315",222
"797",1999,"A320",117.5
"798",1999,"A432",188
"799",1999,"A456",198.75
"800",1999,"A499",210.5
"801",1999,"A617",157.5
"802",1999,"A620",225.5
"803",1999,"A630",177.5
"804",1999,"A680",156.5
"805",1999,"A685",138
"806",1999,"A690",122
"807",1999,"B484",128
"808",1999,"C320",125.5
"809",1999,"C370",290
"810",1999,"D320",114.75
"811",1999,"G320",53.35
"812",1999,"KSHZ06",226.5
"813",1999,"KTHA03",214
"814",1999,"LSIN1",NA
"815",1999,"LSIN9",NA
"816",1999,"N484",131
"817",1999,"VA12A",NA
"818",1999,"VA41A",NA
"819",1999,"VA42A",NA
"820",1999,"VA45A",NA
"821",2000,"0311",86.55
"822",2000,"0317",195
"823",2000,"0321",107.5
"824",2000,"0322",141
"825",2000,"0430",189
"826",2000,"0434",208
"827",2000,"0438",63.68125
"828",2000,"0440",131.125
"829",2000,"0442",229
"830",2000,"0444",152.25
"831",2000,"0446",148.5
"832",2000,"0470",160
"833",2000,"0474",144.25
"834",2000,"0478",129
"835",2000,"0484",120
"836",2000,"0631",106.75
"837",2000,"A315",190.25
"838",2000,"A320",124.75
"839",2000,"A432",164
"840",2000,"A456",179.5
"841",2000,"A499",172.5
"842",2000,"A617",130.25
"843",2000,"A620",187.25
"844",2000,"A630",144.583333333333
"845",2000,"A680",129.75
"846",2000,"A685",139.875
"847",2000,"A690",111
"848",2000,"B484",121
"849",2000,"C320",130.25
"850",2000,"C370",231
"851",2000,"D320",118.75
"852",2000,"G320",58.525
"853",2000,"KSHZ06",234.666666666667
"854",2000,"KTHA03",218.25
"855",2000,"LSIN1",NA
"856",2000,"LSIN9",NA
"857",2000,"N484",127.5
"858",2000,"VA12A",NA
"859",2000,"VA41A",NA
"860",2000,"VA42A",NA
"861",2000,"VA45A",NA
"862",2001,"0311",102.85
"863",2001,"0317",289.25
"864",2001,"0321",118.5
"865",2001,"0322",149.25
"866",2001,"0430",210.75
"867",2001,"0434",222
"868",2001,"0438",69.5583333333333
"869",2001,"0440",157
"870",2001,"0442",437.5
"871",2001,"0444",196.25
"872",2001,"0446",181.5
"873",2001,"0470",172.25
"874",2001,"0474",161.75
"875",2001,"0478",138.5
"876",2001,"0484",125.5
"877",2001,"0631",112.5
"878",2001,"A315",199.5
"879",2001,"A320",128.5
"880",2001,"A432",191.5
"881",2001,"A456",199.25
"882",2001,"A499",211.375
"883",2001,"A617",162.5
"884",2001,"A620",221.25
"885",2001,"A630",197.625
"886",2001,"A680",145.75
"887",2001,"A685",137.125
"888",2001,"A690",128.5
"889",2001,"B484",130
"890",2001,"C320",131.5
"891",2001,"C370",293.25
"892",2001,"D320",130.5
"893",2001,"G320",60.5
"894",2001,"KSHZ06",238.75
"895",2001,"KTHA03",226
"896",2001,"LSIN1",NA
"897",2001,"LSIN9",NA
"898",2001,"N484",141
"899",2001,"VA12A",NA
"900",2001,"VA41A",NA
"901",2001,"VA42A",NA
"902",2001,"VA45A",NA
"903",2002,"0311",75.3
"904",2002,"0317",255.5
"905",2002,"0321",111.25
"906",2002,"0322",138
"907",2002,"0430",191
"908",2002,"0434",179.5
"909",2002,"0438",58.825
"910",2002,"0440",152
"911",2002,"0442",368
"912",2002,"0444",176
"913",2002,"0446",162
"914",2002,"0470",152
"915",2002,"0474",144
"916",2002,"0478",121.25
"917",2002,"0484",109
"918",2002,"0631",105
"919",2002,"A315",167.25
"920",2002,"A320",120.25
"921",2002,"A432",173.5
"922",2002,"A456",161.5
"923",2002,"A499",218.5
"924",2002,"A617",157
"925",2002,"A620",206.5
"926",2002,"A630",202.5
"927",2002,"A680",143.5
"928",2002,"A685",130.25
"929",2002,"A690",105.5
"930",2002,"B484",128
"931",2002,"C320",131.5
"932",2002,"C370",288
"933",2002,"D320",124
"934",2002,"G320",56.3
"935",2002,"KSHZ06",221.25
"936",2002,"KTHA03",228.5
"937",2002,"LSIN1",NA
"938",2002,"LSIN9",NA
"939",2002,"N484",131
"940",2002,"VA12A",NA
"941",2002,"VA41A",NA
"942",2002,"VA42A",NA
"943",2002,"VA45A",NA
"944",2003,"0311",119.85
"945",2003,"0317",319.5
"946",2003,"0321",122
"947",2003,"0322",156.875
"948",2003,"0430",246.5
"949",2003,"0434",247.5
"950",2003,"0438",68.125
"951",2003,"0440",148
"952",2003,"0442",473
"953",2003,"0444",211
"954",2003,"0446",219
"955",2003,"0470",215
"956",2003,"0474",192
"957",2003,"0478",160.5
"958",2003,"0484",139
"959",2003,"0631",126.5
"960",2003,"A315",236.25
"961",2003,"A320",136.666666666667
"962",2003,"A432",235
"963",2003,"A456",233
"964",2003,"A499",234
"965",2003,"A617",187
"966",2003,"A620",262
"967",2003,"A630",270
"968",2003,"A680",170.5
"969",2003,"A685",154.5
"970",2003,"A690",135
"971",2003,"B484",150
"972",2003,"C320",128
"973",2003,"C370",309
"974",2003,"D320",128
"975",2003,"G320",57.7
"976",2003,"KSHZ06",262.5
"977",2003,"KTHA03",247
"978",2003,"LSIN1",NA
"979",2003,"LSIN9",NA
"980",2003,"N484",158
"981",2003,"VA12A",NA
"982",2003,"VA41A",NA
"983",2003,"VA42A",NA
"984",2003,"VA45A",NA
"985",2004,"0311",93.2
"986",2004,"0317",289.25
"987",2004,"0321",123
"988",2004,"0322",149
"989",2004,"0430",223.5
"990",2004,"0434",224.5
"991",2004,"0438",65.2
"992",2004,"0440",171
"993",2004,"0442",505.5
"994",2004,"0444",200
"995",2004,"0446",194.166666666667
"996",2004,"0470",191
"997",2004,"0474",180.5
"998",2004,"0478",152
"999",2004,"0484",135
"1000",2004,"0631",118.5
"1001",2004,"A315",211.5
"1002",2004,"A320",131
"1003",2004,"A432",211.25
"1004",2004,"A456",202.25
"1005",2004,"A499",228
"1006",2004,"A617",162
"1007",2004,"A620",236
"1008",2004,"A630",227
"1009",2004,"A680",173.5
"1010",2004,"A685",156.5
"1011",2004,"A690",144
"1012",2004,"B484",142.5
"1013",2004,"C320",134
"1014",2004,"C370",289
"1015",2004,"D320",132
"1016",2004,"G320",59.8
"1017",2004,"KSHZ06",264
"1018",2004,"KTHA03",246
"1019",2004,"LSIN1",NA
"1020",2004,"LSIN9",NA
"1021",2004,"N484",155
"1022",2004,"VA12A",NA
"1023",2004,"VA41A",NA
"1024",2004,"VA42A",NA
"1025",2004,"VA45A",NA
"1026",2005,"0311",119.5
"1027",2005,"0317",300
"1028",2005,"0321",125.5
"1029",2005,"0322",153
"1030",2005,"0430",220
"1031",2005,"0434",214
"1032",2005,"0438",79.5
