"","Year","Locator","μg/L"
"473",1992,"0430",17.75
"474",1992,"0434",27
"475",1992,"0438",NA
"476",1992,"0440",15
"477",1992,"0442",10
"478",1992,"0444",18.75
"479",1992,"0446",16.75
"480",1992,"0470",14.75
"481",1992,"0474",18.5
"482",1992,"0478",23
"483",1992,"0484",52.3333333333333
"484",1992,"0631",24.25
"485",1992,"A315",74
"486",1992,"A320",14
"487",1992,"A432",26
"488",1992,"A456",33.5
"489",1992,"A499",15.5
"490",1992,"A617",NA
"491",1992,"A620",NA
"492",1992,"A630",43.5
"493",1992,"A680",NA
"494",1992,"A685",NA
"495",1992,"A690",NA
"496",1992,"B484",11.5
"497",1992,"C320",12.5
"498",1992,"C370",NA
"499",1992,"D320",10
"500",1992,"G320",14
"501",1992,"KSHZ06",13
"502",1992,"KTHA03",10
"503",1992,"N484",10
"504",1992,"VA12A",NA
"505",1992,"VA41A",NA
"506",1992,"VA42A",NA
"507",1992,"VA45A",NA
"508",1993,"0311",29
"509",1993,"0317",280
"510",1993,"0321",52
"511",1993,"0322",18.25
"512",1993,"0430",10
"513",1993,"0434",20
"514",1993,"0438",NA
"515",1993,"0440",10
"516",1993,"0442",10
"517",1993,"0444",15.5
"518",1993,"0446",12
"519",1993,"0470",10
"520",1993,"0474",10
"521",1993,"0478",20
"522",1993,"0484",13.25
"523",1993,"0631",20
"524",1993,"A315",48.5
"525",1993,"A320",10
"526",1993,"A432",11.5
"527",1993,"A456",17.5
"528",1993,"A499",10
"529",1993,"A617",NA
"530",1993,"A620",NA
"531",1993,"A630",40
"532",1993,"A680",NA
"533",1993,"A685",NA
"534",1993,"A690",NA
"535",1993,"B484",10
"536",1993,"C320",11
"537",1993,"C370",10
"538",1993,"D320",10
"539",1993,"G320",10
"540",1993,"KSHZ06",10
"541",1993,"KTHA03",10
"542",1993,"N484",17
"543",1993,"VA12A",NA
"544",1993,"VA41A",NA
"545",1993,"VA42A",NA
"546",1993,"VA45A",NA
"547",1994,"0311",21.5
"548",1994,"0317",198.333333333333
"549",1994,"0321",58.5
"550",1994,"0322",20
"551",1994,"0430",20
"552",1994,"0434",20
"553",1994,"0438",NA
"554",1994,"0440",20
"555",1994,"0442",20
"556",1994,"0444",20
"557",1994,"0446",20
"558",1994,"0470",20
"559",1994,"0474",20
"560",1994,"0478",20
"561",1994,"0484",20.5
"562",1994,"0631",20
"563",1994,"A315",55.7
"564",1994,"A320",20
"565",1994,"A432",20
"566",1994,"A456",25
"567",1994,"A499",20
"568",1994,"A617",NA
"569",1994,"A620",NA
"570",1994,"A630",42
"571",1994,"A680",NA
"572",1994,"A685",NA
"573",1994,"A690",NA
"574",1994,"B484",20
"575",1994,"C320",20
"576",1994,"C370",20
"577",1994,"D320",20
"578",1994,"G320",20
"579",1994,"KSHZ06",20
"580",1994,"KTHA03",20
"581",1994,"N484",20
"582",1994,"VA12A",NA
"583",1994,"VA41A",NA
"584",1994,"VA42A",NA
"585",1994,"VA45A",NA
"586",1995,"0311",25
"587",1995,"0317",119.5
"588",1995,"0321",100.033333333333
"589",1995,"0322",23.6375
"590",1995,"0430",20.1666666666667
"591",1995,"0434",37.0833333333333
"592",1995,"0438",NA
"593",1995,"0440",20
"594",1995,"0442",20
"595",1995,"0444",21.25
"596",1995,"0446",26.6666666666667
"597",1995,"0470",20.1666666666667
"598",1995,"0474",21.5
"599",1995,"0478",24.5
"600",1995,"0484",35.9
"601",1995,"0631",20
"602",1995,"A315",90.5
"603",1995,"A320",20
"604",1995,"A432",30.1
"605",1995,"A456",28.75
"606",1995,"A499",20
"607",1995,"A617",20
"608",1995,"A620",NA
"609",1995,"A630",35.15
"610",1995,"A680",20
"611",1995,"A685",NA
"612",1995,"A690",20
"613",1995,"B484",20
"614",1995,"C320",20
"615",1995,"C370",20
"616",1995,"D320",20
"617",1995,"G320",20
"618",1995,"KSHZ06",21
"619",1995,"KTHA03",20
"620",1995,"N484",20.5
"621",1995,"VA12A",NA
"622",1995,"VA41A",NA
"623",1995,"VA42A",NA
"624",1995,"VA45A",NA
"625",1996,"0311",50
"626",1996,"0317",157.666666666667
"627",1996,"0321",61.6666666666667
"628",1996,"0322",104.333333333333
"629",1996,"0430",26.25
"630",1996,"0434",48.5
"631",1996,"0438",NA
"632",1996,"0440",28.0833333333333
"633",1996,"0442",24.75
"634",1996,"0444",35.1666666666667
"635",1996,"0446",38.5
"636",1996,"0470",27.5
"637",1996,"0474",33.5
"638",1996,"0478",31.25
"639",1996,"0484",32.5
"640",1996,"0631",30.5
"641",1996,"A315",59.75
"642",1996,"A320",27.75
"643",1996,"A432",39.25
"644",1996,"A456",37.5
"645",1996,"A499",27
"646",1996,"A617",20
"647",1996,"A620",34
"648",1996,"A630",48.8333333333333
"649",1996,"A680",33.25
"650",1996,"A685",20
"651",1996,"A690",24.6666666666667
"652",1996,"B484",21.25
"653",1996,"C320",22
"654",1996,"C370",29
"655",1996,"D320",20
"656",1996,"G320",28
"657",1996,"KSHZ06",20.5
"658",1996,"KTHA03",20
"659",1996,"N484",28.75
"660",1996,"VA12A",NA
"661",1996,"VA41A",NA
"662",1996,"VA42A",NA
"663",1996,"VA45A",NA
"664",1997,"0311",51.2
"665",1997,"0317",189.5
"666",1997,"0321",62.8
"667",1997,"0322",33.7166666666667
"668",1997,"0430",29
"669",1997,"0434",34.5
"670",1997,"0438",32.75
"671",1997,"0440",34
"672",1997,"0442",33
"673",1997,"0444",38
"674",1997,"0446",33.5
"675",1997,"0470",39
"676",1997,"0474",39.9
"677",1997,"0478",45.35
"678",1997,"0484",42.35
"679",1997,"0631",33.5
"680",1997,"A315",84.025
"681",1997,"A320",32.75
"682",1997,"A432",41.9
"683",1997,"A456",39
"684",1997,"A499",25.5
"685",1997,"A617",23.5
"686",1997,"A620",36
"687",1997,"A630",68.125
"688",1997,"A680",41.65
"689",1997,"A685",32
"690",1997,"A690",28
"691",1997,"B484",26
"692",1997,"C320",27.5
"693",1997,"C370",39
"694",1997,"D320",24.5
"695",1997,"G320",27
"696",1997,"KSHZ06",29.5
"697",1997,"KTHA03",21
"698",1997,"N484",34.45
"699",1997,"VA12A",NA
"700",1997,"VA41A",NA
"701",1997,"VA42A",NA
"702",1997,"VA45A",NA
"703",1998,"0311",29.8
"704",1998,"0317",175
"705",1998,"0321",48.8
"706",1998,"0322",40.32
"707",1998,"0430",22
"708",1998,"0434",33.15
"709",1998,"0438",20
"710",1998,"0440",25
"711",1998,"0442",20
"712",1998,"0444",21.5
"713",1998,"0446",24.5
"714",1998,"0470",25.3
"715",1998,"0474",27
"716",1998,"0478",29.5
"717",1998,"0484",24.5
"718",1998,"0631",20
"719",1998,"A315",113.5
"720",1998,"A320",20
"721",1998,"A432",23.9166666666667
"722",1998,"A456",34.2
"723",1998,"A499",20.5
"724",1998,"A617",20
"725",1998,"A620",22
"726",1998,"A630",89.775
"727",1998,"A680",20.5
"728",1998,"A685",20
"729",1998,"A690",20
"730",1998,"B484",20
"731",1998,"C320",20
"732",1998,"C370",28.1
"733",1998,"D320",20
"734",1998,"G320",20
"735",1998,"KSHZ06",20
"736",1998,"KTHA03",20
"737",1998,"N484",20
